scenario,region,sector,subsector,year,value,reductions,type
announced pledges scenario,world,oil,total final consumption,2030,9302.23,-0.0244679,weo
announced pledges scenario,world,oil,total final consumption,2040,6669.63,0.265464105,weo
announced pledges scenario,world,oil,total final consumption,2050,4754.88,0.476338262,weo
announced pledges scenario,world,natural gas,total final consumption,2020,3320.85,0,weo
announced pledges scenario,world,natural gas,total final consumption,2030,3225.17,0.028811901,weo
announced pledges scenario,world,natural gas,total final consumption,2040,2464.88,0.257756297,weo
announced pledges scenario,world,natural gas,total final consumption,2050,1803.36,0.456958309,weo
announced pledges scenario,world,bioenergy and waste,total final consumption,2020,113.5,0,weo
announced pledges scenario,world,bioenergy and waste,total final consumption,2030,64.43,0.432334802,weo
announced pledges scenario,world,bioenergy and waste,total final consumption,2040,-21.03,1.185286344,weo
announced pledges scenario,world,bioenergy and waste,total final consumption,2050,-124.93,2.100704846,weo
stated policies scenario,world,total,residential,2020,1982.94,0,weo
announced pledges scenario,world,total,residential,2020,1982.94,0,weo
net zero emissions by 2050 scenario,world,total,residential,2020,1982.94,0,weo
stated policies scenario,world,total,residential,2030,1746.6,0.119186662,weo
announced pledges scenario,world,total,residential,2030,1558.57,0.21401051,weo
net zero emissions by 2050 scenario,world,total,residential,2030,1197.4,0.396149152,weo
stated policies scenario,world,total,residential,2040,1527.82,0.229517787,weo
announced pledges scenario,world,total,residential,2040,1002.23,0.494573714,weo
net zero emissions by 2050 scenario,world,total,residential,2040,368.88,0.813973191,weo
stated policies scenario,world,total,residential,2050,1415.08,0.28637276,weo
announced pledges scenario,world,total,residential,2050,747.73,0.622918495,weo
net zero emissions by 2050 scenario,world,total,residential,2050,54.61,0.972460085,weo
stated policies scenario,world,total,road,2020,5484.78,0,weo
announced pledges scenario,world,total,road,2020,5484.78,0,weo
net zero emissions by 2050 scenario,world,total,road,2020,5484.78,0,weo
stated policies scenario,world,total,road,2030,6064.52,-0.105699773,weo
announced pledges scenario,world,total,road,2030,5458.55,0.004782325,weo
net zero emissions by 2050 scenario,world,total,road,2030,3987.84,0.27292617,weo
stated policies scenario,world,total,road,2040,5925.1,-0.080280339,weo
announced pledges scenario,world,total,road,2040,3772.68,0.312154726,weo
net zero emissions by 2050 scenario,world,total,road,2040,1369.97,0.750223345,weo
stated policies scenario,world,total,road,2050,5666.9,-0.033204613,weo
announced pledges scenario,world,total,road,2050,2508.61,0.542623405,weo
net zero emissions by 2050 scenario,world,total,road,2050,195.03,0.9644416,weo
stated policies scenario,world,total,road heavy-duty trucks,2020,1688.1,0,weo
announced pledges scenario,world,total,road heavy-duty trucks,2020,1688.1,0,weo
